project_id,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,cc_score,size,lloc,single_comments,sloc,multi,comments,blank,mi
1142,4.183274021352313,32.7017793594306,21.6423487544484,39.48398576512456,36.88505338078292,61.12633451957296,230.4626433767395,418.77957548783337,2.540776787531664,3197.9409369530013,177.66338538627696,0.1395931918292775,3.485801885564626,1055060,165.43096085409252,15.377224199288257,209.13238434163702,84.7864768683274,17.19644128113879,66.17010676156583,30.501941264977585
1490,1.9988327983659178,11.436533411146776,7.289757805660928,13.840968777356288,13.435366209512694,21.130726583017218,72.37894428675668,129.71879521968336,1.1867413975962615,876.1575163014544,48.675417572303175,0.043239598406560484,1.5530589959566603,347370,56.008754012255615,8.839801575722205,67.70674058943682,9.745550043770061,8.562299387219142,15.070615698861978,44.90024458575973
8081,6.073482428115016,102.7555910543131,73.71246006389777,141.1150159744409,108.82907348242811,214.82747603833866,906.7695366359889,1887.1438251932143,3.9834166125877895,22654.848098565333,1258.60267214252,0.6290479417310724,3.2219885378496813,490085,357.27156549520765,84.84984025559105,542.0463258785943,53.6964856230032,101.3929712460064,102.29073482428115,16.970159121515632
8871,3.638888888888889,25.53584229390681,15.57258064516129,29.82347670250896,29.1747311827957,45.39605734767025,176.15455792749157,304.09578107468826,2.124226243325393,2207.352200054577,122.6306777808105,0.10136526035822851,1.5852467267935868,391855,164.7168458781362,12.414874551971327,171.75179211469535,91.11200716845879,13.345878136200717,75.84587813620071,33.583669431939484
9793,7.843567251461988,1121.4144736842106,836.6769005847954,1637.876461988304,1129.2580409356726,2474.5533625730995,16457.85803269573,36039.7889563233,5.6981261510279175,241654.1074807954,13425.228193377501,12.013262985441086,7.92396186827518,635747,249.19078947368422,17.944444444444443,273.7602339181287,74.12061403508773,18.82675438596491,98.90204678362574,13.824218255775465
10824,2.3997648442092885,17.832451499118164,11.128747795414462,21.163433274544385,20.232216343327455,32.29218106995885,125.17020296681606,222.70632675489597,1.3937415792776062,1742.1666568269623,96.78703649038694,0.07423544225163166,1.699569861089063,537296,152.9100529100529,32.883597883597886,222.50852439741328,14.433862433862434,32.43386243386244,46.044679600235156,32.07150794041869
11453,3.9625260235947257,30.726578764746705,19.954545454545453,38.24566273421235,34.68910478834143,58.200208188757806,217.546798148686,405.02582458913827,2.400484205325934,3381.7020760570476,187.87233755872398,0.1350086081963789,2.265807881712382,570685,109.55517002081888,15.482997918112423,125.91394864677308,21.18320610687023,14.10027758501041,35.436849410131856,35.54423775356024
13666,5.634308183828951,47.760874907839764,32.97935610715163,63.43868272302777,53.39518309166871,96.4180388301794,354.7193734969491,702.394295326378,3.635021767374738,7253.836324134944,402.99090689638473,0.23413143177545817,2.395693555533536,1240280,179.7844679282379,26.696731383632343,213.0452199557631,20.7136888670435,39.90661096092406,44.35635291226345,28.90408458262217
31723,7.3872340425531915,103.10354609929078,79.89078014184398,154.54893617021276,110.49078014184397,234.43971631205673,875.8251740149395,1982.0299322897129,5.317981416128955,26041.56913482671,1446.7538408237058,0.6606766440965698,2.868400563077306,323555,197.33333333333334,24.22836879432624,237.8468085106383,111.88936170212766,25.626950354609928,84.97872340425532,24.650036836553536
45658,3.237588998341949,27.146201111869697,19.443870086803862,37.53594070028284,30.383790110211645,56.979810787086706,201.87008361820676,435.7363380081334,1.9756844814066328,3643.3827418389988,202.4101523243872,0.14524544600271067,1.8598049941538126,2162901,110.54218277577294,15.073441919438213,140.00409636204037,21.13244903930557,15.564712766995026,34.74300204818102,34.37973667675664
54266,4.981395348837209,87.14418604651163,60.93023255813954,122.18604651162791,92.12558139534883,183.11627906976744,762.5925075387776,1607.6003529866593,3.1196410165676505,16116.673068407576,895.370726022645,0.5358667843288861,2.4783271803891154,95683,286.48372093023255,32.25581395348837,348.6139534883721,19.037209302325582,33.009302325581395,45.13023255813953,21.72931188871728
55818,3.263888888888889,26.62099358974359,17.990384615384617,34.515491452991455,29.884882478632477,52.50587606837607,189.32333751946277,367.46960325597473,2.0208306800845963,3187.5044963866526,177.08358313259168,0.12248986775199168,1.9214809517730715,586468,98.20352564102564,20.184294871794872,106.60657051282051,7.151175213675214,17.83707264957265,22.700053418803417,37.449118673077464
62741,0.328525641025641,3.796474358974359,2.434294871794872,4.780448717948718,4.125,7.214743589743589,29.677509131500027,55.424472343675575,0.2025394052893216,481.8510673448368,26.76950374137983,0.01847482411455853,0.1419126338758173,23010,16.29326923076923,5.435897435897436,24.80128205128205,2.668269230769231,4.681089743589744,3.969551282051282,56.923621570652905
